userId,movieId,rating,timestamp
508,4893,3.0,1435994597
325,7127,4.0,1322252335
56,1575,3.0,965798155
609,855,4.0,1479544102
461,1808,2.0,1174438249
599,1547,3.5,1237714669
88,8651,3.5,1520409121
342,1733,4.0,1202061289
413,5964,4.0,1139849175
155,2316,4.0,946799453
304,1223,2.5,1460135974
447,383,3.0,1019127444
56,511,4.0,965796004
19,4223,2.0,1054036811
312,474,5.0,1030474666
599,3671,1.5,1237764418
303,910,5.0,881232527
468,840,5.0,965661904
137,2031,0.5,1222676033
216,1735,2.0,955943681
371,773,2.0,874416661
602,2628,4.0,963176106
338,1223,4.0,1460354557
437,2543,3.5,1105649733
365,507,4.0,1445546504
149,84,3.0,854203072
522,5559,4.5,1503126150
379,1242,4.0,1494803474
488,1780,1.5,1333297270
110,7102,1.5,1516144107
317,2546,4.0,1275475059
332,2806,3.0,965671624
216,772,3.0,955943917
513,1502,4.0,1533872451
274,383,4.0,1049076616
83,277,5.0,857653594
423,4604,4.5,1457843834
407,5212,4.5,1483945606
551,1958,2.5,1112151439
108,97,5.0,841106621
379,7013,3.0,1493420793
75,2144,4.0,1439167032
18,626,2.0,965710019
304,956,5.0,1460135285
468,1791,5.0,965336695
589,1777,1.5,1258418851
466,1585,2.0,919672054
67,2370,3.5,1158532167
216,491,1.0,955945521
524,8050,4.0,1476478440
198,337,3.0,940544360
474,1971,5.0,1498031804
121,7396,5.0,1461563274
563,2940,4.0,1478453930
479,6315,4.0,1179160377
65,4926,5.0,1093747275
306,831,3.0,1197407444
424,4013,4.0,1106483583
267,1444,2.0,940183036
607,4321,4.0,1117336923
602,1230,5.0,954482505
468,2380,4.0,965846210
598,6999,2.5,1498517692
473,2646,4.5,1087831518
218,938,4.0,1194686346
221,4600,4.0,1391375012
181,2614,4.0,1076826045
211,7439,4.0,1490114909
164,3898,3.0,1046741422
508,3633,5.0,1435992277
593,297,5.0,1109036815
273,3346,3.5,1171830127
229,2632,3.5,1196305101
9,3635,4.0,1455301798
124,9313,3.5,1476904043
350,7637,3.5,1328296798
585,4131,5.0,1529899142
413,765,2.0,961513576
67,1083,5.0,1158533126
461,7703,3.5,1384180887
488,3635,4.0,1333101658
589,431,3.0,1266472615
273,5946,3.5,1171830482
413,9692,3.5,1527977920
473,463,4.0,979180139
589,307,3.5,1258420549
267,897,5.0,940185291
513,1032,4.0,1533872782
589,1421,5.0,1258417259
447,3625,4.0,1019127669
598,9465,1.0,1498529010
30,594,4.0,850466616
110,9402,4.5,1518812112
524,483,4.0,1476478152
510,2480,4.5,1450094234
297,8515,3.0,1450369296
56,334,2.0,969754312
410,383,3.0,835532398
533,6658,4.0,1459787997
53,436,3.0,839921452
67,973,2.5,1158533795
473,1576,2.0,1014924446
181,3971,2.0,1055153897
380,6883,2.5,1262898117
419,4791,4.5,1218041554
17,8611,3.5,1483294684
476,5920,3.5,1200945211
186,6027,4.5,1161850083
99,2638,4.0,1100184302
104,8420,3.5,1446571729
589,720,5.0,1258417339
369,6041,3.0,1159162677
554,1733,5.0,978748587
513,2984,3.5,1533949031
104,8565,4.0,1447580031
18,2416,4.0,965708982
194,1401,2.0,974705766
26,2246,1.0,965150213
410,339,3.0,835533439
488,93,4.5,1333231499
88,8698,3.5,1520409107
424,5290,3.0,1106482923
44,546,4.0,950740583
321,2257,0.5,1217676415
533,30,3.5,1459788707
304,685,3.5,1518198067
262,3006,4.0,1090948218
468,1289,5.0,965846053
590,2903,3.0,972086497
593,1475,4.5,1109038393
468,2550,4.0,965333750
287,6052,4.5,1158263085
186,201,4.5,1161849733
316,190,4.0,1430366031
248,6996,3.0,1355366304
413,8434,4.0,1485656823
262,1796,4.0,940384374
468,1525,3.0,965334150
104,3465,4.0,1446573574
413,1338,3.0,961518330
516,1823,1.5,1487957251
427,1157,4.0,1111623379
333,592,3.5,1225480881
